generation_id,generation_index,top_fitness
65656d9a,0,0.6555970943871633
d1baa0c3,1,0.3720842016845559
6684c7a8,2,0.40292700165701123
c29a0e84,3,0.40875415277010635
c104db3a,4,0.40763773209291093
51f74241,5,0.4101341055879949
62ff7e69,6,0.4145261219882109
40646f47,7,0.4134032002331014
0ab37d27,8,0.41712846262943665
d8a24bdd,9,0.6077529185377761
c8ea8189,10,0.41323851135177636
a07e3056,11,0.6560493079123011
d7d76f54,12,0.4004356380609375
4b2e80bd,13,0.6479520293676305
e76a7090,14,0.9163141709846742
ac7afb5a,15,0.40480201590696907
14144fe5,16,0.5973865794273099
8c65c46d,17,0.4173309814923506
6131dc63,18,0.6331587964895034
074b9847,19,0.40268230750109996
bc73b0f0,20,0.3944115013378056
