generation_id,generation_index,top_fitness
b7360eb0,0,0.40649011101910726
8af65eb8,1,0.38805645583130866
4256ece4,2,0.4099558906537396
1760e21b,3,0.6520914849550593
bb3ea211,4,0.6447509908105353
d1855ab9,5,0.39827727711398814
6a826cc8,6,0.9177870628642733
a1c44fdd,7,0.3998832629667115
7a4127ee,8,0.41800512686992475
9968712e,9,0.374314238167723
380fad47,10,0.6128218601871861
4f398618,11,0.3832514627392129
99ff81ba,12,0.401471515506514
54ed0044,13,0.17063980503221912
c31ed7af,14,0.3949403851710667
5edc6bd6,15,0.6016155673063677
2f57c054,16,0.4123767809484953
6e5c281e,17,0.41127301248405124
0fe3bc6f,18,0.40343113479491055
f146a200,19,0.6605217106048835
071ee2e9,20,0.4082421174946691
1a171a5a,21,0.6571400803465245
b59272ee,22,0.6575464634306388
95a37fc8,23,0.4149648357792195
95ea357d,24,0.4022831550976083
e4ab7142,25,0.42296626887358285
4aa4a7d2,26,0.672057131826975
8144723c,27,0.6513953092813161
84d09e2e,28,0.5924118063069684
54d4d1fd,29,0.41648392343045504
e1db7883,30,0.6488755832996644
f1da872b,31,0.5860786870487094
c157e577,32,0.6621791330571224
7efdabed,33,0.6688001361103879
4eca39b6,34,0.4172856452667448
d0d79170,35,0.6677312190855015
4bb7a883,36,0.6507603224775345
680ce226,37,0.40659203677142897
632aaf35,38,0.6528979246975604
620ba551,39,0.6559544133408375
cca572ba,40,0.40470998903561906
cba1e2bc,41,0.664515484298051
f1b1a66c,42,0.41841834497011976
1b8b0729,43,0.5964901379683076
adba0389,44,0.5893399752813527
b0fe4184,45,0.3960660681165106
f4b50882,46,0.6718510878768815
e201d7e3,47,0.5949374425311076
b6f0d5c5,48,0.6497577508696284
cbb0cc86,49,0.6596581612079029
