generation_id,generation_index,top_fitness
a3a67e20,0,0.35422816972218085
3e10075b,1,0.1555471515332257
9c22dfa2,2,0.14821134016275206
c91d49b4,3,0.14997549271084187
90b13c00,4,0.16192014440670877
e5f678d4,5,0.15095397464828267
1ed8eb46,6,0.3938525734617663
0c7bb006,7,0.34734930180628465
8d325b5b,8,0.15357080633774292
79a2c74f,9,0.15404032284502714
f151e0f1,10,0.15814605647692087
ca3f4260,11,0.15741998717257077
184e634f,12,0.1489053256343374
eebd8934,13,0.15518123218607918
619d5a86,14,0.14733781028320495
080fbd1c,15,0.153469112825504
ad409561,16,0.14873359402004172
190fc2e1,17,0.3774215878325524
a79782bd,18,0.15137430045312794
2422d234,19,0.3892269855061343
dda00cb5,20,0.1448439338113078
2bd9252c,21,0.1605564693258703
df6dc115,22,0.17127157103740562
801061eb,23,0.35939242340169963
8002fd02,24,0.15735165041334798
1af58438,25,0.1557304021235493
c47d6baa,26,0.38672476287255336
8139ef5c,27,0.1489310871002372
536eff35,28,0.1540049461095392
c8aa09e6,29,0.1504754556640508
9ef4cf26,30,0.16072243998596025
eeddffbd,31,0.1596693151984429
ab3ec51f,32,0.1598186327743192
7c07eb10,33,0.37924583364493647
4148c92d,34,0.14462099584247656
47531cd4,35,0.16098281587675498
1b6bed27,36,0.1542138199880247
1e1ca2bd,37,0.16902277519420794
d1b41f69,38,0.15759052944186328
edf226f2,39,0.1571527490640753
ee0975d7,40,0.15085362170796765
5892badb,41,0.1584529020390272
2ec52f95,42,0.1669795555536662
