generation_id,generation_index,top_fitness
9d786433,0,0.653814992834518
0700895a,1,0.40606401383075263
30e934df,2,0.5913164931120198
31193bf5,3,0.4083833787677137
2ffa11be,4,0.41193852005640874
fe93d60c,5,0.6482659407411885
b7dc2f47,6,0.6529829374698622
692aa556,7,0.6544938282022594
c9afb6aa,8,0.36392207505711205
94e758ac,9,0.3905334987526154
c50d5d02,10,0.6573020589541884
5d610062,11,0.40807668232782623
a9cd9841,12,0.40586256874653637
7b128185,13,0.3313657778917064
5de78234,14,0.6239621904053984
9a05ac44,15,0.9041709426062475
60ab61ec,16,0.4254174761507376
730b3007,17,0.41171430293828704
5c9b4758,18,0.6362649998018308
4fc36bd0,19,0.5948900767019858
cd19200c,20,0.3725669461644196
1a3339f9,21,0.42595068658392643
fae1d4a7,22,0.4070706140634205
7140e5ea,23,0.3936554579137319
877777f5,24,0.5962152034538591
c1ee677d,25,0.41972967284153434
5dd1c146,26,0.3971704560217225
389cadcb,27,0.4119729823573128
af4fce48,28,0.6583879215602557
b44bbeca,29,0.5941755656467058
538fee5c,30,0.5903359855345266
0dc44f93,31,0.6472361058556306
6e36c78b,32,0.41602229087446707
bc6baa68,33,0.41392835549798035
5b773df4,34,0.3990399565942909
cfa3b636,35,0.37088924575099935
5f683e74,36,0.6093042545134967
048d0e3b,37,0.65744044824532
a4fd5003,38,0.6357865198833923
4ebbe474,39,0.40037053041321824
50b3b745,40,0.4010092242714402
89509b6f,41,0.6564341781557955
87a7851d,42,0.5935252180887753
1cbe8435,43,0.4183062816622364
2dc9c2fb,44,0.4160239320887273
91a135c6,45,0.3847561671340175
07e2267f,46,0.6644312689597522
fb2310cb,47,0.6599309188078244
354cd2df,48,0.4047919143916181
93ecbc7e,49,0.6496444814696296
