generation_id,generation_index,top_fitness
6b200dfc,0,0.41183297799388346
6eb3439c,1,0.6495115608098434
1ad394d7,2,0.602213110484287
2e24f1a5,3,0.39723350866486284
2aeb37fd,4,0.4129505516005036
4a35c017,5,0.40104646505550734
42ae4465,6,0.41915822170427275
f145c0cf,7,0.6606790639614292
2265df16,8,0.4059349417516691
b856c1bd,9,0.9071082769504503
01bc33da,10,0.6545543076900178
1afdf543,11,0.6537025675434776
154173b4,12,0.9132068048278793
4ea740ca,13,0.4024133520592098
9e900616,14,0.5995886168625568
16ef6c7f,15,0.3965389739454045
1691e6d6,16,0.40313814552631855
3ffbfdc4,17,0.6116413668508727
d036eb19,18,0.41178633192563263
e9ff7ee1,19,0.6610156973872854
e0428cd8,20,0.4143414052992751
c886e213,21,0.3967229141958849
f6b30179,22,0.6609939038808547
7716935b,23,0.6294827182167937
b7929b04,24,0.6168575649363747
4ecf2805,25,0.6384962690320698
661009e6,26,0.5980369485757855
7a28d2e7,27,0.3417014848883186
83bbd8f3,28,0.38991701030078363
