generation_id,generation_index,top_fitness
fbc93daa,0,0.6307058287293609
075f5d18,1,0.404507609938143
11caa294,2,0.37470797559483315
7fc683c6,3,0.6592458624398225
31679802,4,0.41688832030532874
e3f0d658,5,0.6600237028064657
4f6a8d01,6,0.39938471998071157
8c0a587c,7,0.39726459462631836
a8622018,8,0.4004494695478667
db25f0b8,9,0.40088740406554385
6cd1ca55,10,0.40829823709782254
7649f88e,11,0.5976748204479709
b3c6e0ce,12,0.4158722307189957
bff39c95,13,0.4123885643195908
44abfbc2,14,0.4132017883118694
