generation_id,generation_index,top_fitness
c5ff08ee,0,0.65215458567288
86d827a8,1,0.6356696022088875
f8a3eb22,2,0.5971021023320835
f5c652ca,3,0.6029071559688991
3efbfc99,4,0.41442565762284755
9b74c22a,5,0.41554400732636254
0c920344,6,0.42144805600729796
8773b4c6,7,0.40427958840161304
8eb482b0,8,0.611473233607031
6f6729e0,9,0.5901204096300104
5b28f039,10,0.40654323355435096
2040c0cc,11,0.3641461329494
f7419285,12,0.41089991417974825
20c5dfd4,13,0.40209912575563755
896aa971,14,0.35159747946508285
dd3b89e5,15,0.6504371559170804
8f527bc4,16,0.4145266223874873
467fda27,17,0.662928916469406
fdc8f4de,18,0.4054842812536564
f3407946,19,0.6531840538059339
4d64cd70,20,0.40002654260729253
948c600e,21,0.41491946502415444
ae7432ae,22,0.40002793595531755
979122ef,23,0.6160938094736339
b8700380,24,0.4252671764265348
508737d0,25,0.6567993000472379
381e951d,26,0.404129087720564
e83c1bd3,27,0.4066936097935951
a098d364,28,0.405023348975005
38e5cb15,29,0.41834553287386156
ebae9b6e,30,0.38405047910834966
870652b7,31,0.4037078486803209
e41be6a0,32,0.41304706298355315
595921ce,33,0.6430187603010816
db549910,34,0.6534356450038213
2a95e560,35,0.41693904561135975
c879c53f,36,0.41627348326715824
252599e0,37,0.4019009763828777
a257bfc9,38,0.40254234007568546
5e3bbc59,39,0.40148273151077474
1b738660,40,0.641626251575482
6f7ac8ae,41,0.3803867410270589
349cf708,42,0.6417608667559955
b6177388,43,0.4083896327145485
9c4797ea,44,0.6559177680049184
e76457fd,45,0.4085907588005979
21c6e211,46,0.40537782523022536
58c9315b,47,0.4160307946176244
4e7cae2b,48,0.5998912035953615
25cce0a7,49,0.9005885995861104
