generation_id,generation_index,top_fitness
7f47aa83,0,0.6344138855991358
04ceef23,1,0.6511728368726478
933ad06a,2,0.4139437631006767
b9d2c96c,3,0.38000103861561396
9611d256,4,0.400795590261284
878d535e,5,0.6406625335207037
737fe9c5,6,0.39601677432895843
3a42fb26,7,0.6052698292816897
a1f71527,8,0.6538438663783068
46cd0bfb,9,0.42609908469868957
8d630dcc,10,0.3480340020970453
a4797c5f,11,0.6472363180922837
17674fc1,12,0.4058440397532127
c1afe08b,13,0.651047368534415
74853173,14,0.39780251640288444
2ac54315,15,0.4134405348153465
9d416480,16,0.8972348366206356
d6e4422d,17,0.5909440345056104
bdb48330,18,0.4048947513259
00319385,19,0.666403771208105
af8b04ae,20,0.608310157854459
09d6dc32,21,0.6458686384379964
19262439,22,0.6573553064324897
8100563b,23,0.5919052515119515
bc5ad7cc,24,0.6624466947595212
f317d74d,25,0.39539886098059707
8589eebc,26,0.6632518042699689
a9a5f7b7,27,0.17529186507640523
35f3ddab,28,0.39544583283381507
4dda4821,29,0.4104537246924019
0b0c9b9e,30,0.40473648559404773
93744201,31,0.40492268713769897
d16db1be,32,0.6560831435506062
2874a698,33,0.39114828015137226
7099d21e,34,0.6637024435013
359f27ab,35,0.4044974373566853
931615eb,36,0.6293508480357033
0a453ab8,37,0.4046434828612106
065ca599,38,0.4144846332705155
3f583a5b,39,0.41857793252936143
01951334,40,0.6500214628714124
dd73f169,41,0.5993401472556258
d8244f02,42,0.6602457748287994
2e871e43,43,0.41017486364482014
6c049703,44,0.40984449940334805
0e4eb54f,45,0.6530680105668674
c9769893,46,0.6612083493559051
b0599601,47,0.42049632403909365
ee7716e7,48,0.6825746045758796
9b5ca514,49,0.6627075274832868
