generation_id,generation_index,top_fitness
5e1ec57d,0,0.6273666251104377
e4cb6758,1,0.9024332239865609
914f00a4,2,0.6540919931798965
c83905b9,3,0.40142879707941315
3c489069,4,0.40936372776248875
382aff17,5,0.6457858922851325
5465c0eb,6,0.6454553451111609
a9cc0ed8,7,0.41307570393448956
fbf7cd4f,8,0.6428681281045142
be57e380,9,0.6596808021848468
6a632b56,10,0.630858381443643
fefab7e3,11,0.4136416220616991
7980ccff,12,0.417361829158507
2e0e7775,13,0.4041974260299711
435531b2,14,0.5956718542593102
975954b0,15,0.3646564806512184
5a5f715a,16,0.4171746492160955
db090669,17,0.4108901230545449
39f77419,18,0.895295077258101
38d12a92,19,0.4033633981750565
ab3385dd,20,0.3978970720444792
20b3ebb1,21,0.40540771920701085
160074e4,22,0.3811411296630661
e2d4da59,23,0.4026984492349749
edc3ed23,24,0.6492208143639588
57839ca3,25,0.411083958712525
8bc6b092,26,0.6484279083754465
871e43cf,27,0.6736291544228941
e7fc84a4,28,0.6431599540295814
fac025e7,29,0.41339118103516204
2f3a2a4f,30,0.6305084895498756
7c31f329,31,0.4268767379590166
b7ae021a,32,0.3620254816261462
c2aa6971,33,0.412437234808521
7cf74796,34,0.39598038597208335
9aba6f58,35,0.4195938079114985
b24a90f1,36,0.6630440285799104
36f6d75f,37,0.4051423426834729
2d8c26b1,38,0.4269970747757731
3504a067,39,0.6508580727135898
5aae871d,40,0.6703282466712301
8ec4bc0c,41,0.4139266687074703
0431fa6b,42,0.41185937464594435
29afdf05,43,0.6306074836862372
cb957c71,44,0.4090860219850332
682d16c1,45,0.40481371910139174
f590865e,46,0.4076215839249546
5ab05e34,47,0.40456450970998714
85b06c94,48,0.40998001281687635
6fa37771,49,0.3393933532810907
