generation_id,generation_index,top_fitness
faf66dc6,0,0.6544458868173845
51e9c639,1,0.37681360998891356
a5c54743,2,0.5929039078845239
03999c4a,3,0.16754528658989018
728ecf43,4,0.5999485600706591
bf18b078,5,0.6227114707192153
750db112,6,0.3381701815623824
a7f7940b,7,0.6210613023884552
966f63b0,8,0.4197038558004659
3c2634d6,9,0.6502861040046423
b3731f66,10,0.5939782688448111
086c197a,11,0.6145902699040817
1159c44a,12,0.6004998316166197
b74bd861,13,0.4147537216204906
83c344a5,14,0.4045638336273172
634d5c40,15,0.668445258519025
665378e5,16,0.400452099457662
23a3ea44,17,0.6511692478601411
687c3e48,18,0.6566800827760633
4e88c1ea,19,0.4058347429500945
f5ba6ced,20,0.6135179532239144
31613553,21,0.6692070751030464
e0c01c01,22,0.4067135690036787
3a58ea76,23,0.41906890408965725
f8a52a84,24,0.4056295444340161
6a57b88e,25,0.40466186659869485
5b59bdb7,26,0.6581152347286624
b7c86afa,27,0.3999776059046694
3fd8a9bc,28,0.37978617863502595
127fc14f,29,0.5887410825602298
a21ed030,30,0.6595466289443305
6afd58b4,31,0.5972045078883116
a45971f0,32,0.40429776696268194
4930f558,33,0.6106144079839227
