generation_id,generation_index,top_fitness,saved_specimen
a6bf5817,0,0.8594466560515517,0ebd4126
79395231,1,0.8727231430548114,8a9a5898
ea49007e,2,0.8592715078225832,9d021af4
466307c6,3,0.8581555784484642,085e3857
07d321b9,4,0.6390241437845527,
00907274,5,0.8764901681346797,4684a7b7
08cbefde,6,0.8836988174903961,7576899b
963c3d0e,7,0.8854649168323183,e6ca1263
fe046182,8,0.8759649706824935,5289ff66
4c5fc5a8,9,0.8827552013098314,6843c3d8
